Name,Price,URL,Image URL
"Lenovo IdeaPad Slim 3 15IRH8 (83EM007VED)(Intel® Core™ I7-13620H - Ram 16GB LPDDR5 -Hard 512GB SSD - GPU Integrated Intel® UHD- 15.6"" FHD -OS Windows® 11 - Color Arctic Grey)","EGP 34,999.00",https://www.jumia.com.eg/lenovo-ideapad-slim-3-15irh8-83em007vedintelr-coretm-i7-13620h-ram-16gb-lpddr5-hard-512gb-ssd-gpu-integrated-intelr-uhd-15.6-fhd-os-windowsr-11-color-arctic-grey-96817687.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/671869/1.jpg?4578
P&G PAPMERS PREMIUM EXTRA CARE SIZE 5 - 50 PCS,EGP 599.00,https://www.jumia.com.eg/pg-papmers-premium-extra-care-size-5-50-pcs-131477005.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/0774131/1.jpg?0504
Lenovo NB-LENOVO IDEAPAD SLIM 3 15IRH8-CI5 13420H-512GB SSD-16GB-INTEL VGA-15.6FHD-DOS+BAG-GREY-2Y,"EGP 25,999.00",https://www.jumia.com.eg/lenovo-nb-lenovo-ideapad-slim-3-15irh8-ci5-13420h-512gb-ssd-16gb-intel-vga-15.6fhd-dosbag-grey-2y-132100164.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/1001231/1.jpg?3152
"Lenovo IdeaPad 1 15AMN7 82VG00MMED Ryzen™ 5 7520U , 8GBRam , 512GB SSD , Radeon™ 610M , 15.6"" FHD , Win11 - Cloud Gray","EGP 21,970.00",https://www.jumia.com.eg/lenovo-ideapad-1-15amn7-82vg00mmed-ryzentm-5-7520u-8gbram-512gb-ssd-radeontm-610m-15.6-fhd-win11-cloud-gray-123712217.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/2217321/1.jpg?8945
MSI Thin 15B13UC -CPU Raptor Lake I7 13620H- RAM 16G DDR4 (3200MHz)-512GB NVMe PCIe SSD- VGA RTX 3050 GDDR6 4GB- FHD 144Hz IPS Blue Backlit- 2 Yr – Cosmos Gray-( 9S7-16R831-2615 ),"EGP 34,499.00",https://www.jumia.com.eg/msi-thin-15b13uc-cpu-raptor-lake-i7-13620h-ram-16g-ddr4-3200mhz-512gb-nvme-pcie-ssd-vga-rtx-3050-gddr6-4gb-fhd-144hz-ips-blue-backlit-2-yr-cosmos-gray-9s7-16r831-2615-129223898.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/8322921/1.jpg?0586
Asus LapTop TUF Gaming F15 FX507VV-LP156W - 15.6 Inch - Intel Core I7-13620H - 16G/1TBSSD - RTX4060 - WIN11 -  Jaeger Gray,"EGP 80,999.00",https://www.jumia.com.eg/asus-laptop-tuf-gaming-f15-fx507vv-lp156w-15.6-inch-intel-core-i7-13620h-16g1tbssd-rtx4060-win11-jaeger-gray-130115913.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/9511031/1.jpg?1168
"HP Elite Book 745 G6, AMD Ryzen 5 Pro 3500U, 14"" Inch, 8GB Ram, 256GB SSD, Integrated AMD Radeon Vega 8 Graphics (2GB), windows 10 - Silver","EGP 9,999.00",https://www.jumia.com.eg/hp-elite-book-745-g6-amd-ryzen-5-pro-3500u-14-inch-8gb-ram-256gb-ssd-integrated-amd-radeon-vega-8-graphics-2gb-windows-10-silver-133552746.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/7255331/1.jpg?3698
"Acer Nitro V15 Ryzen 5 - 7535HS, 8GB Ram, 512GB SSD, RTX 3050, 15.6"" FHD, Win 11 - Black","EGP 37,240.00",https://www.jumia.com.eg/acer-nitro-v15-ryzen-5-7535hs-8gb-ram-512gb-ssd-rtx-3050-15.6-fhd-win-11-black-129973043.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0379921/1.jpg?7125
Lenovo LOQ ( Core i5-12450HX- 16G Ram DDR5-4800-512G NVMe-VGA Nvidia 6G RTX4050-5.6FHD White Backlit- 144Hz- Luna Grey)LenovoMouse + 2Yr Warranty,"EGP 37,690.00",https://www.jumia.com.eg/lenovo-loq-core-i5-12450hx-16g-ram-ddr5-4800-512g-nvme-vga-nvidia-6g-rtx4050-5.6fhd-white-backlit-144hz-luna-greylenovomouse-2yr-warranty-130068355.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/3860031/1.jpg?5166
"MSI Laptop I3-1215U- 8Gb - 256 Ssd -  Uhd- 14"" Fhd-Dos-Classic Black- Modern 14","EGP 16,740.00",https://www.jumia.com.eg/msi-laptop-i3-1215u-8gb-256-ssd-uhd-14-fhd-dos-classic-black-modern-14-112424611.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/6424211/1.jpg?5744
